Year,Existing,Occupancy status,Housing type,
2017,True,Owner-occupied,Single-family,109.5
2017,True,Owner-occupied,Multi-family,74.3
2017,True,Privately rented,Single-family,87.1
2017,True,Privately rented,Multi-family,53.5
2017,True,Social-housing,Single-family,77.8
2017,True,Social-housing,Multi-family,63.3
2017,False,Owner-occupied,Single-family,132.0
2017,False,Owner-occupied,Multi-family,81.0
2017,False,Privately rented,Single-family,90.0
2017,False,Privately rented,Multi-family,60.0
2017,False,Social-housing,Single-family,84.0
2017,False,Social-housing,Multi-family,71.0
2030,True,Owner-occupied,Single-family,107.3
2030,True,Owner-occupied,Multi-family,72.8
2030,True,Privately rented,Single-family,85.4
2030,True,Privately rented,Multi-family,52.4
2030,True,Social-housing,Single-family,76.2
2030,True,Social-housing,Multi-family,62.0
2030,False,Owner-occupied,Single-family,129.4
2030,False,Owner-occupied,Multi-family,79.4
2030,False,Privately rented,Single-family,88.2
2030,False,Privately rented,Multi-family,58.8
2030,False,Social-housing,Single-family,82.3
2030,False,Social-housing,Multi-family,69.6
