Year,Existing,Occupancy status,Housing type,
2017,True,Owner-occupied,Single-family,109.5
2017,True,Owner-occupied,Multi-family,74.3
2017,True,Privately rented,Single-family,87.1
2017,True,Privately rented,Multi-family,53.5
2017,True,Social-housing,Single-family,77.8
2017,True,Social-housing,Multi-family,63.3
2017,False,Owner-occupied,Single-family,132.0
2017,False,Owner-occupied,Multi-family,81.0
2017,False,Privately rented,Single-family,90.0
2017,False,Privately rented,Multi-family,60.0
2017,False,Social-housing,Single-family,84.0
2017,False,Social-housing,Multi-family,71.0
2050,True,Owner-occupied,Single-family,106.2
2050,True,Owner-occupied,Multi-family,72.1
2050,True,Privately rented,Single-family,84.5
2050,True,Privately rented,Multi-family,51.9
2050,True,Social-housing,Single-family,75.5
2050,True,Social-housing,Multi-family,61.4
2050,False,Owner-occupied,Single-family,128.0
2050,False,Owner-occupied,Multi-family,78.6
2050,False,Privately rented,Single-family,87.3
2050,False,Privately rented,Multi-family,58.2
2050,False,Social-housing,Single-family,81.5
2050,False,Social-housing,Multi-family,68.9
