Year,Existing,Occupancy status,Housing type,
2017,True,Owner-occupied,Single-family,109.5
2017,True,Owner-occupied,Multi-family,74.3
2017,True,Privately rented,Single-family,87.1
2017,True,Privately rented,Multi-family,53.5
2017,True,Social-housing,Single-family,77.8
2017,True,Social-housing,Multi-family,63.3
2017,False,Owner-occupied,Single-family,132.0
2017,False,Owner-occupied,Multi-family,81.0
2017,False,Privately rented,Single-family,90.0
2017,False,Privately rented,Multi-family,60.0
2017,False,Social-housing,Single-family,84.0
2017,False,Social-housing,Multi-family,71.0
2050,True,Owner-occupied,Single-family,97.5
2050,True,Owner-occupied,Multi-family,66.1
2050,True,Privately rented,Single-family,77.5
2050,True,Privately rented,Multi-family,47.6
2050,True,Social-housing,Single-family,69.2
2050,True,Social-housing,Multi-family,56.3
2050,False,Owner-occupied,Single-family,117.5
2050,False,Owner-occupied,Multi-family,72.1
2050,False,Privately rented,Single-family,80.1
2050,False,Privately rented,Multi-family,53.4
2050,False,Social-housing,Single-family,74.8
2050,False,Social-housing,Multi-family,63.2
