Year,Existing,Occupancy status,Housing type,
2017,True,Owner-occupied,Single-family,109.5
2017,True,Owner-occupied,Multi-family,74.3
2017,True,Privately rented,Single-family,87.1
2017,True,Privately rented,Multi-family,53.5
2017,True,Social-housing,Single-family,77.8
2017,True,Social-housing,Multi-family,63.3
2017,False,Owner-occupied,Single-family,132.0
2017,False,Owner-occupied,Multi-family,81.0
2017,False,Privately rented,Single-family,90.0
2017,False,Privately rented,Multi-family,60.0
2017,False,Social-housing,Single-family,84.0
2017,False,Social-housing,Multi-family,71.0
2040,True,Owner-occupied,Single-family,101.8
2040,True,Owner-occupied,Multi-family,69.1
2040,True,Privately rented,Single-family,81.0
2040,True,Privately rented,Multi-family,49.8
2040,True,Social-housing,Single-family,72.4
2040,True,Social-housing,Multi-family,58.9
2040,False,Owner-occupied,Single-family,122.8
2040,False,Owner-occupied,Multi-family,75.3
2040,False,Privately rented,Single-family,83.7
2040,False,Privately rented,Multi-family,55.8
2040,False,Social-housing,Single-family,78.1
2040,False,Social-housing,Multi-family,66.0
